reg,domanda,risposta
ASS,"Il  Presidente  dell’AIA è  eletto  a  scrutinio segreto dai  Presidenti  sezionali, dai  Delegati sezionali,  dai  Dirigenti benemeriti  FIGC  Associati  AIA e  dai Dirigenti benemeriti AIA, riuniti in apposita Assemblea generale e dura in carica per quattro stagioni sportive corrispondenti al quadriennio olimpico",VERO
ASS,"Alle  Assemblee  sezionali  hanno  diritto  di  voto  gli  Associati  che  hanno  la  maggiore  età,  che  siano  nominati  Arbitri  entro  il  30  giugno  dell’anno precedente, che non siano sospesi e che non siano morosi nel pagamento delle quote sezionali",VERO
ASS,"Gli Arbitri avvicendati dalla CAI, dopo una sola stagione sportiva, potranno essere riproposti una sola seconda volta per una nuova immissione nel ruolo",VERO
ASS,Gli  Arbitri  hanno  diritto  a  ricevere  consulenza  gratuita  dalla  Commissione  Esperti  Legali  per  questioni  civili  e  penali  attinenti  a  fatti  accaduti nell'ambito della loro prestazione sportiva,VERO
ASS,Gli Arbitri sono obbligati a segnalare con immediatezza all’Autorità di Pubblica Sicurezza ed al Presidente di Sezione lo smarrimento della tessera federale,VERO
ASS,I rilievi di carattere tecnico per gli Arbitri a disposizione della CAN B devono essere comunicati per iscritto agli interessati con copia conoscenza al Presidente del CRA/CPA,FALSO
ASS,Il Collegio dei Revisori dei Conti sezionali è formato da tre membri di cui uno nominato dal Presidente del CRA con funzioni di Presidente del Collegio stesso,FALSO
ASS,"Il Comitato dei Garanti è composto da  tre  membri di cui uno nominato dal Presidente  del CONI, uno dal Presidente federale ed uno dal Comitato Nazionale in composizione allargata",VERO
ASS,"Il Comitato Nazionale è composto dal Presidente dell’AIA, dal Vice Presidente, dai tre Componenti effettivi della lista collegata e dai tre Componenti effettivi eletti singolarmente per ciascuna macroregione",VERO
ASS,"Il Presidente del CRA è nominato dal Comitato Nazionale, su proposta del Presidente dell’AIA e sentiti i Presidenti di Sezione relativi alla regione, per due stagioni sportive",FALSO
ASS,"Il  Presidente  Nazionale  propone  al Presidente  Federale  gli Associati aventi i  requisiti  oggettivi  per la  nomina  ad  Arbitri, Assistenti  ed  Osservatori internazionali",VERO
ASS,Il rappresentante degli Arbitri in attività è nominato dal Presidente AIA tra quelli con la qualifica di Arbitri internazionali sentito il parere degli Arbitri effettivi appartenenti al ruolo CAN A,VERO
ASS,"Il  Responsabile  del  Settore  Tecnico,  ai  fini  dell’attività  di  formazione,  può  visionare  gli  Arbitri  effettivi,  gli  Assistenti  e  gli  Osservatori  arbitrali appartenenti a qualsiasi ruolo",VERO
ASS,"In caso di dimissioni, decadenza o impedimento non temporaneo del Vice Presidente dell'AIA deve essere convocata una nuova Assemblea generale straordinaria per procedere a nuove elezioni",FALSO
ASS,L’AIA si articola territorialmente in Sezioni aventi natura di associazioni di diritto privato non riconosciute e dotate di autonomia amministrativa e fiscale,VERO
ASS,La  riammissione  nell’AIA  di  ex  Associati  può  essere  richiesta  solo  se  non  sono  ancora  trascorsi  quattro  anni  dalla  data  di  accettazione  delle dimissioni,VERO
ASS,"Nei casi di assenza o di impedimento temporanei del Presidente dell’AIA, il Vice presidente svolge le funzioni vicarie, con l’obbligo di sentire in ogni caso il preventivo parere del Comitato Nazionale prima dell’emissione di qualsiasi provvedimento",VERO
ASS,Per la candidatura a Delegato sezionale è prevista la firma di presentazione da parte di altri Associati nella misura minima del 16% e massima del 20% degli aventi diritto al voto,FALSO
ASS,Per  la  presentazione  delle  candidature  a  Presidente  di  Sezione  occorre  presentare  una  scheda  con la  sottoscrizione  di aventi  diritto  al voto  nella misura minima del 16% e massima del 20% degli associati iscritti alla data del trenta giugno dell'anno precedente alle elezioni,VERO
ASS,"Qualora l’organico sezionale dovesse diminuire nel corso del quadriennio, la composizione del CDS rimarrà numericamente invariata; può variare, invece, in caso di aumento dell’organico sezionale nel corso del quadriennio",VERO
ASS,Sono eleggibili alla carica di Delegati sezionali gli Associati che abbiano maturato un'anzianità associativa di almeno dieci anni e abbiano compiuto di ventotto anni di età,VERO
ASS,"Tutti gli Organi che svolgono funzioni tecniche, ad eccezione del Presidente sezionale con funzioni di OTS, durano in carica per una stagione sportiva ed eventuali Componenti nominati nel corso della stessa cessano automaticamente dalle funzioni il 30 giugno",VERO
ASS,Agli Arbitri è fatto divieto di dirigere gare che non rientrano nell’attività calcistica organizzata o autorizzata dalla FIGC,VERO
ASS,Al Comitato Nazionale partecipano i Responsabili degli Organi Tecnici Nazionali senza diritto di voto,VERO
ASS,"All’Assemblea Generale partecipano, con diritto di voto, i Delegati sezionali",VERO
ASS,"All’Assemblea Generale dell’AIA partecipano, senza diritto di voto, tutti i Componenti del Consiglio Centrale in carica",VERO
ASS,"All’Assemblea Generale partecipano, con diritto di voto, i Presidenti dei CRA/CPA",FALSO
ASS,All'Assemblea sezionale ordinaria ogni Associato presente con diritto di voto può essere portatore di una sola delega scritta,VERO
ASS,"Di norma, gli OA a disposizione degli OTN non possono rivestire alcun incarico quale Componente dell'OTS",VERO
